Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Elfrid Payton,PG,23,ORL,44,44,28.6,5.4,10.4,.520,0.6,1.5,.373,4.8,8.9,.545,.547,1.6,2.6,.632,1.1,2.9,4.0,6.3,1.5,0.4,2.6,2.2,13.0
Elfrid Payton,PG,23,PHO,19,19,29.0,4.8,11.0,.435,0.3,1.3,.200,4.5,9.7,.467,.447,1.9,2.8,.685,0.9,4.4,5.3,6.2,1.0,0.3,2.8,2.6,11.8
Gary Payton II,PG,25,TOT,23,6,9.6,1.3,3.2,.405,0.3,1.1,.240,1.0,2.1,.490,.446,0.1,0.4,.333,0.6,1.3,1.9,0.9,0.3,0.1,0.3,1.3,3.0
Gary Payton II,PG,25,MIL,12,6,8.8,1.1,2.8,.394,0.2,1.0,.167,0.9,1.8,.524,.424,0.2,0.3,.667,0.3,1.1,1.4,0.8,0.3,0.1,0.3,1.4,2.5
Gary Payton II,PG,25,LAL,11,0,10.5,1.5,3.7,.415,0.4,1.2,.308,1.2,2.5,.464,.463,0.1,0.5,.167,0.8,1.6,2.5,1.1,0.4,0.2,0.4,1.2,3.5
Kendrick Perkins,C,33,CLE,1,0,15.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,1.0,2.0,.500,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0
London Perrantes,PG,23,CLE,14,0,4.7,0.1,0.9,.154,0.0,0.2,.000,0.1,0.7,.200,.154,0.2,0.4,.600,0.1,0.2,0.3,0.4,0.1,0.1,0.1,0.4,0.5
Marshall Plumlee,C,25,MIL,8,0,6.5,0.1,0.4,.333,0.0,0.0,,0.1,0.4,.333,.333,1.5,2.0,.750,0.5,1.6,2.1,0.3,0.0,0.1,0.4,1.3,1.8
Mason Plumlee,C,27,DEN,74,26,19.4,3.0,5.0,.601,0.0,0.0,.000,3.0,5.0,.602,.601,1.1,2.4,.458,1.8,3.6,5.4,1.9,0.7,1.1,1.4,2.5,7.1
Miles Plumlee,C,29,ATL,55,35,16.7,1.9,3.3,.583,0.0,0.0,,1.9,3.3,.583,.583,0.5,1.1,.450,1.4,2.7,4.1,0.8,0.3,0.5,1.1,1.4,4.3
Jakob Poeltl,C,22,TOR,82,0,18.6,3.1,4.7,.659,0.0,0.0,.500,3.1,4.7,.660,.660,0.7,1.2,.594,2.0,2.8,4.8,0.7,0.5,1.2,1.0,2.6,6.9
Dwight Powell,C,26,DAL,79,25,21.2,3.2,5.4,.593,0.4,1.1,.333,2.9,4.4,.656,.626,1.7,2.3,.719,1.7,3.9,5.6,1.2,0.8,0.4,0.7,2.4,8.5
Norman Powell,SG,24,TOR,70,18,15.2,2.1,5.3,.401,0.8,2.7,.285,1.4,2.7,.516,.472,0.5,0.6,.821,0.2,1.5,1.7,1.3,0.5,0.2,0.9,1.6,5.5
Jacob Pullen,PG,28,PHI,3,0,2.0,0.3,0.7,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.7
Rodney Purvis,SG,23,ORL,16,2,18.1,2.2,6.7,.327,0.8,3.3,.250,1.4,3.4,.400,.388,0.8,0.9,.867,0.1,1.6,1.7,1.1,0.2,0.2,0.6,1.6,6.0
Zhou Qi,C,22,HOU,18,0,6.9,0.3,1.8,.188,0.1,1.1,.105,0.2,0.7,.308,.219,0.4,0.7,.667,0.3,0.9,1.2,0.1,0.1,0.8,0.6,0.8,1.2
Tim Quarterman,SG,23,HOU,3,0,4.3,0.3,1.0,.333,0.0,0.7,.000,0.3,0.3,1.000,.333,0.7,0.7,1.000,0.0,1.0,1.0,0.3,0.0,0.0,0.7,0.3,1.3
Julius Randle,C,23,LAL,82,49,26.7,6.1,11.0,.558,0.1,0.5,.222,6.0,10.5,.575,.563,3.7,5.2,.718,2.2,5.8,8.0,2.6,0.5,0.5,2.6,3.3,16.1
Xavier Rathan-Mayes,SG,23,MEM,5,0,23.6,2.4,8.4,.286,0.2,2.8,.071,2.2,5.6,.393,.298,0.8,1.8,.444,0.0,1.0,1.0,3.6,1.2,0.6,2.2,3.6,5.8
J.J. Redick,SG,33,PHI,70,70,30.2,5.8,12.6,.460,2.8,6.6,.420,3.0,6.0,.504,.569,2.8,3.1,.904,0.1,2.4,2.5,3.0,0.5,0.1,1.5,1.8,17.1
Davon Reed,SG,22,PHO,21,1,11.5,1.0,3.6,.289,0.5,1.8,.289,0.5,1.8,.289,.362,0.4,0.6,.667,0.1,1.8,1.9,0.6,0.5,0.1,0.5,0.8,3.0
Willie Reed,C,27,TOT,42,5,10.2,1.9,2.9,.669,0.0,0.0,.500,1.9,2.8,.672,.674,0.8,1.3,.582,0.8,2.0,2.9,0.2,0.2,0.5,0.5,1.3,4.6
Willie Reed,C,27,LAC,39,5,10.7,2.1,3.1,.667,0.0,0.1,.500,2.0,3.0,.669,.671,0.8,1.4,.582,0.9,2.2,3.1,0.2,0.2,0.6,0.5,1.4,4.9
Willie Reed,C,27,DET,3,0,3.0,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,0.7
Malachi Richardson,SG,22,TOT,26,4,12.5,1.2,3.5,.333,0.5,1.5,.300,0.7,1.9,.360,.400,0.7,0.8,.773,0.2,1.1,1.3,0.5,0.4,0.0,0.4,1.0,3.4
Malachi Richardson,SG,22,SAC,25,4,12.8,1.2,3.5,.330,0.5,1.6,.308,0.7,2.0,.347,.398,0.7,0.9,.773,0.2,1.1,1.3,0.5,0.4,0.0,0.4,1.1,3.5
Malachi Richardson,SG,22,TOR,1,0,5.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Austin Rivers,SG,25,LAC,61,59,33.7,5.6,13.2,.424,2.2,5.9,.378,3.4,7.3,.461,.508,1.7,2.6,.642,0.4,1.9,2.4,4.0,1.2,0.3,1.8,2.5,15.1
Andre Roberson,SG,26,OKC,39,39,26.6,2.2,4.2,.537,0.2,0.9,.222,2.0,3.2,.627,.562,0.3,1.0,.316,1.9,2.8,4.7,1.2,1.2,0.9,0.8,2.3,5.0
Rajon Rondo,PG,31,NOP,65,63,26.2,3.6,7.6,.468,0.8,2.3,.333,2.8,5.3,.526,.518,0.4,0.7,.543,0.5,3.6,4.0,8.2,1.1,0.2,2.3,1.8,8.3
Derrick Rose,PG,29,TOT,25,7,16.8,3.2,7.4,.435,0.3,1.2,.233,3.0,6.2,.474,.454,1.6,1.8,.870,0.5,0.9,1.4,1.5,0.3,0.2,1.4,0.6,8.4
Derrick Rose,PG,29,CLE,16,7,19.3,3.6,8.3,.439,0.4,1.5,.250,3.3,6.8,.481,.462,2.2,2.6,.854,0.6,1.2,1.8,1.6,0.2,0.3,1.8,0.9,9.8
Derrick Rose,PG,29,MIN,9,0,12.4,2.6,6.0,.426,0.1,0.7,.167,2.4,5.3,.458,.435,0.6,0.6,1.000,0.3,0.3,0.7,1.2,0.4,0.0,0.8,0.2,5.8
Terrence Ross,SG,26,ORL,24,20,25.0,3.2,8.0,.398,1.3,3.9,.323,1.9,4.1,.469,.476,1.1,1.5,.750,0.4,2.6,3.0,1.6,1.1,0.5,1.2,1.9,8.7
Ricky Rubio,PG,27,UTA,77,77,29.3,4.5,10.7,.418,1.2,3.5,.352,3.2,7.2,.451,.476,2.9,3.3,.866,0.6,4.0,4.6,5.3,1.6,0.1,2.7,2.7,13.1
Domantas Sabonis,C,21,IND,74,19,24.5,4.6,8.9,.514,0.2,0.5,.351,4.4,8.4,.524,.524,2.3,3.0,.750,2.2,5.5,7.7,2.0,0.5,0.4,1.9,3.0,11.6
Tomáš Satoranský,SG,26,WAS,73,30,22.5,2.8,5.3,.523,0.6,1.4,.465,2.1,3.9,.544,.585,1.0,1.3,.781,1.0,2.2,3.2,3.9,0.7,0.2,1.1,1.8,7.2
Dennis Schröder,PG,24,ATL,67,67,31.0,7.5,17.1,.436,1.1,3.9,.290,6.3,13.2,.480,.469,3.4,4.0,.849,0.7,2.4,3.1,6.2,1.1,0.1,2.7,2.2,19.4
Wayne Selden,SG,23,MEM,35,9,19.8,3.3,7.7,.431,1.4,3.5,.402,1.9,4.2,.456,.522,1.3,1.7,.746,0.5,1.1,1.6,1.9,0.5,0.1,1.5,1.7,9.3
Ramon Sessions,PG,31,TOT,28,3,14.0,1.5,4.2,.359,0.3,0.9,.308,1.2,3.3,.374,.393,1.6,2.0,.772,0.2,1.1,1.4,2.8,0.5,0.1,1.1,1.0,4.9
Ramon Sessions,PG,31,NYK,13,3,12.8,1.3,4.1,.321,0.2,0.8,.182,1.2,3.2,.357,.340,0.9,1.2,.800,0.1,1.3,1.4,2.1,0.5,0.1,1.2,1.1,3.7
Ramon Sessions,PG,31,WAS,15,0,15.0,1.7,4.3,.391,0.4,1.0,.400,1.3,3.3,.388,.438,2.1,2.8,.762,0.3,1.0,1.3,3.3,0.5,0.1,1.0,1.0,5.9
Iman Shumpert,SG,27,CLE,14,6,19.7,1.6,4.1,.379,0.5,1.9,.269,1.1,2.3,.469,.440,0.8,1.1,.733,0.5,2.4,2.9,1.2,0.6,0.3,1.1,1.6,4.4
Ben Simmons,PG,21,PHI,81,81,33.7,6.7,12.3,.545,0.0,0.1,.000,6.7,12.2,.551,.545,2.4,4.2,.560,1.8,6.3,8.1,8.2,1.7,0.9,3.4,2.6,15.8
Jonathon Simmons,SG,28,ORL,69,50,29.4,5.1,11.0,.465,1.0,3.0,.338,4.1,8.1,.512,.511,2.7,3.5,.768,0.9,2.6,3.5,2.5,0.8,0.2,2.1,2.5,13.9
Kobi Simmons,PG,20,MEM,32,12,20.1,2.5,5.9,.423,0.3,1.2,.282,2.2,4.7,.460,.452,0.8,0.8,1.000,0.4,1.1,1.6,2.1,0.6,0.2,1.4,1.9,6.1
Dennis Smith Jr.,PG,20,DAL,69,69,29.7,5.9,14.8,.395,1.5,4.9,.313,4.3,9.9,.435,.446,1.9,2.8,.694,0.7,3.0,3.8,5.2,1.0,0.3,2.8,2.2,15.2
Ish Smith,PG,29,DET,82,35,24.9,4.7,9.8,.486,0.4,1.2,.347,4.3,8.5,.506,.507,1.0,1.4,.698,0.3,2.4,2.7,4.4,0.8,0.2,1.3,1.7,10.9
J.R. Smith,SG,32,CLE,80,61,28.1,3.0,7.4,.403,1.8,4.8,.375,1.2,2.7,.453,.524,0.5,0.7,.696,0.4,2.6,2.9,1.8,0.9,0.1,1.0,2.0,8.3
Jason Smith,C,31,WAS,33,2,8.6,1.4,3.5,.391,0.1,1.0,.125,1.2,2.5,.494,.409,0.6,0.6,.905,0.5,1.1,1.6,0.4,0.1,0.4,0.5,1.3,3.4
Tony Snell,SG,26,MIL,75,59,27.4,2.5,5.7,.435,1.4,3.6,.403,1.0,2.1,.490,.562,0.5,0.6,.792,0.1,1.8,1.9,1.3,0.6,0.4,0.5,1.5,6.9
Marreese Speights,C,30,ORL,52,3,13.0,2.7,6.7,.395,1.7,4.5,.369,1.0,2.2,.448,.519,0.8,1.1,.727,0.4,2.2,2.6,0.8,0.2,0.4,0.8,2.0,7.7
Nik Stauskas,SG,24,TOT,41,0,12.8,1.5,3.8,.390,1.0,2.4,.400,0.5,1.3,.370,.519,0.5,0.7,.724,0.1,1.5,1.6,1.0,0.2,0.1,0.6,0.6,4.4
Nik Stauskas,SG,24,PHI,6,0,7.5,0.2,0.7,.250,0.0,0.2,.000,0.2,0.5,.333,.250,0.3,0.3,1.000,0.0,0.2,0.2,0.2,0.7,0.0,0.7,0.5,0.7
Lance Stephenson,SG,27,IND,82,7,22.6,3.7,8.6,.427,0.8,2.8,.289,2.9,5.8,.495,.475,1.0,1.5,.661,0.8,4.4,5.2,2.9,0.6,0.2,1.6,2.2,9.2
David Stockton,PG,26,UTA,3,0,3.0,0.7,1.0,.667,0.7,1.0,.667,0.0,0.0,,1.000,1.3,1.3,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,3.3
Julyan Stone,SG,29,CHO,23,0,7.6,0.3,0.6,.462,0.3,0.6,.462,0.0,0.0,,.692,0.0,0.1,.500,0.0,1.2,1.3,1.1,0.2,0.1,0.3,0.9,0.8
Edmond Sumner,PG,22,IND,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
Isaiah Taylor,PG,23,ATL,67,9,17.4,2.4,5.8,.418,0.3,1.2,.250,2.1,4.6,.461,.444,1.5,2.1,.702,0.3,1.1,1.4,3.1,0.5,0.1,1.3,1.7,6.6
Jeff Teague,PG,29,MIN,70,70,33.0,5.1,11.3,.446,1.2,3.3,.368,3.9,8.1,.477,.499,2.9,3.4,.845,0.3,2.6,3.0,7.0,1.5,0.3,2.5,2.4,14.2
Marquis Teague,PG,24,MEM,3,0,24.7,1.3,5.3,.250,0.3,1.3,.250,1.0,4.0,.250,.281,0.7,1.7,.400,0.3,1.7,2.0,4.3,1.3,0.0,1.0,1.7,3.7
Garrett Temple,SG,31,SAC,65,35,24.8,3.1,7.3,.418,1.4,3.5,.392,1.7,3.8,.442,.512,0.9,1.2,.769,0.3,2.0,2.3,1.9,0.9,0.4,1.2,2.1,8.4
Miloš Teodosić,PG,30,LAC,45,36,25.2,3.4,8.0,.419,2.0,5.2,.379,1.4,2.8,.492,.542,0.9,1.0,.848,0.4,2.4,2.8,4.6,0.5,0.1,2.2,2.3,9.5
Jason Terry,SG,40,MIL,51,4,16.0,1.2,3.0,.383,0.8,2.3,.348,0.4,0.8,.487,.513,0.2,0.2,.889,0.1,0.8,0.9,1.2,0.8,0.3,0.5,1.0,3.3
Isaiah Thomas,PG,28,TOT,32,15,26.9,4.9,13.2,.373,1.7,5.9,.293,3.2,7.3,.438,.438,3.7,4.1,.893,0.5,1.6,2.1,4.8,0.5,0.1,3.0,1.8,15.2
Isaiah Thomas,PG,28,CLE,15,14,27.1,4.7,12.9,.361,1.5,5.8,.253,3.2,7.1,.449,.418,3.9,4.5,.868,0.5,1.6,2.1,4.5,0.6,0.1,2.7,1.7,14.7
Isaiah Thomas,PG,28,LAL,17,1,26.8,5.1,13.4,.383,1.9,5.9,.327,3.2,7.4,.429,.456,3.4,3.7,.921,0.6,1.5,2.1,5.0,0.4,0.1,3.2,1.9,15.6
Klay Thompson,SG,27,GSW,73,73,34.3,7.9,16.2,.488,3.1,7.1,.440,4.7,9.0,.526,.585,1.1,1.3,.837,0.4,3.4,3.8,2.5,0.8,0.5,1.8,1.6,20.0
Tristan Thompson,C,26,CLE,53,22,20.2,2.5,4.4,.562,0.0,0.0,,2.5,4.4,.562,.562,0.8,1.5,.544,2.4,4.3,6.6,0.6,0.3,0.3,0.7,1.9,5.8
Sindarius Thornwell,SG,23,LAC,73,17,15.8,1.4,3.2,.429,0.3,0.8,.377,1.1,2.4,.448,.479,0.8,1.2,.670,0.5,1.5,1.9,0.9,0.7,0.3,0.7,1.7,3.9
Karl-Anthony Towns,C,22,MIN,82,82,35.6,7.8,14.3,.545,1.5,3.5,.421,6.3,10.8,.585,.596,4.2,4.9,.858,2.9,9.4,12.3,2.4,0.8,1.4,1.9,3.5,21.3
Myles Turner,C,21,IND,65,62,28.2,4.7,9.8,.479,0.9,2.4,.357,3.8,7.4,.519,.523,2.5,3.2,.777,1.4,5.0,6.4,1.3,0.6,1.8,1.5,2.9,12.7
Ekpe Udoh,C,30,UTA,63,3,12.9,1.0,1.9,.500,0.0,0.0,.000,1.0,1.9,.504,.500,0.7,0.9,.750,1.1,1.3,2.4,0.8,0.7,1.2,0.3,1.7,2.6
Tyler Ulis,PG,22,PHO,71,43,23.4,3.0,7.8,.388,0.6,2.1,.288,2.4,5.7,.425,.426,1.2,1.4,.832,0.3,1.5,1.8,4.4,1.0,0.1,1.8,1.7,7.8
Jonas Valančiūnas,C,25,TOR,77,77,22.4,5.1,8.9,.568,0.4,1.0,.405,4.7,8.0,.587,.590,2.2,2.7,.806,2.4,6.2,8.6,1.1,0.4,0.9,1.5,2.5,12.7
Denzel Valentine,SG,24,CHI,77,37,27.2,3.9,9.4,.417,1.9,4.8,.386,2.1,4.6,.450,.517,0.5,0.7,.745,0.6,4.5,5.1,3.2,0.8,0.1,1.3,2.4,10.2
Fred VanVleet,PG,23,TOR,76,0,20.0,3.1,7.2,.426,1.4,3.4,.414,1.6,3.7,.437,.525,1.1,1.3,.832,0.3,2.1,2.4,3.2,0.9,0.3,1.0,1.7,8.6
Rashad Vaughn,SG,21,TOT,28,0,7.6,0.8,2.0,.411,0.5,1.3,.378,0.3,0.7,.474,.536,0.1,0.2,.667,0.1,0.6,0.8,0.5,0.2,0.1,0.2,0.5,2.3
Rashad Vaughn,SG,21,MIL,22,0,7.9,1.0,2.3,.420,0.6,1.6,.371,0.4,0.7,.533,.550,0.2,0.3,.667,0.1,0.7,0.8,0.5,0.2,0.1,0.2,0.5,2.7
Rashad Vaughn,SG,21,ORL,5,0,7.0,0.4,1.2,.333,0.2,0.4,.500,0.2,0.8,.250,.417,0.0,0.0,,0.2,0.6,0.8,0.0,0.2,0.0,0.4,0.4,1.0
Nikola Vučević,C,27,ORL,57,57,29.5,7.0,14.7,.475,1.1,3.6,.314,5.9,11.2,.527,.513,1.4,1.6,.819,1.8,7.4,9.2,3.4,1.0,1.1,1.9,2.5,16.5
Dwyane Wade,SG,36,TOT,67,3,22.9,4.5,10.2,.438,0.5,1.7,.288,4.0,8.5,.468,.462,2.0,2.8,.714,0.7,3.0,3.8,3.4,0.9,0.7,2.1,1.9,11.4
Dwyane Wade,SG,36,CLE,46,3,23.2,4.3,9.5,.455,0.5,1.5,.329,3.8,7.9,.479,.482,2.0,2.9,.701,0.8,3.1,3.9,3.5,0.9,0.7,2.0,1.8,11.2
Dwyane Wade,SG,36,MIA,21,0,22.2,4.8,11.8,.409,0.4,2.0,.220,4.4,9.8,.447,.427,2.0,2.6,.745,0.5,2.9,3.4,3.1,0.9,0.7,2.3,1.9,12.0
Dion Waiters,SG,26,MIA,30,30,30.6,5.4,13.7,.398,1.7,5.7,.306,3.7,8.0,.463,.461,1.7,2.3,.739,0.3,2.3,2.6,3.8,0.8,0.3,2.3,2.0,14.3
Kemba Walker,PG,27,CHO,80,80,34.2,7.4,17.0,.431,2.9,7.5,.384,4.5,9.5,.469,.516,4.5,5.3,.864,0.4,2.7,3.1,5.6,1.1,0.3,2.2,1.2,22.1
John Wall,PG,27,WAS,41,41,34.4,6.8,16.3,.420,1.5,4.1,.371,5.3,12.2,.436,.466,4.3,5.9,.726,0.5,3.1,3.7,9.6,1.4,1.1,3.9,2.0,19.4
Tyrone Wallace,PG,23,LAC,30,19,28.4,3.7,8.2,.445,0.3,1.3,.250,3.3,6.9,.483,.466,2.0,2.6,.782,0.7,2.8,3.5,2.4,0.9,0.4,1.5,2.8,9.7
Derrick Walton,PG,22,MIA,16,0,9.2,0.5,1.6,.320,0.4,1.1,.412,0.1,0.5,.125,.460,0.4,0.4,1.000,0.1,0.9,1.0,1.0,0.4,0.2,0.1,0.4,1.8
Briante Weber,PG,25,TOT,18,0,13.2,1.1,2.4,.442,0.2,0.6,.364,0.8,1.8,.469,.488,0.4,0.6,.800,0.4,1.5,1.9,1.2,1.0,0.3,0.8,1.6,2.8
Briante Weber,PG,25,HOU,13,0,9.1,0.7,1.7,.409,0.3,0.7,.444,0.4,1.0,.385,.500,0.3,0.3,1.000,0.2,1.2,1.4,1.0,0.8,0.2,0.5,1.4,2.0
Briante Weber,PG,25,MEM,5,0,23.8,2.0,4.2,.476,0.0,0.4,.000,2.0,3.8,.526,.476,0.8,1.2,.667,1.0,2.4,3.4,1.8,1.6,0.4,1.6,2.0,4.8
David West,C,37,GSW,73,0,13.7,3.0,5.2,.571,0.0,0.1,.375,2.9,5.1,.576,.575,0.8,1.1,.759,0.9,2.4,3.3,1.9,0.6,1.0,1.1,1.6,6.8
Russell Westbrook,PG,29,OKC,80,80,36.4,9.5,21.1,.449,1.2,4.1,.298,8.3,17.0,.485,.477,5.2,7.1,.737,1.9,8.2,10.1,10.3,1.8,0.3,4.8,2.5,25.4
Derrick White,PG,23,SAS,17,0,8.2,0.9,1.9,.485,0.5,0.8,.615,0.5,1.2,.400,.606,0.8,1.2,.700,0.3,1.2,1.5,0.5,0.2,0.2,0.4,0.5,3.2
Hassan Whiteside,C,28,MIA,54,54,25.3,5.8,10.7,.540,0.0,0.0,1.000,5.7,10.7,.538,.542,2.4,3.4,.703,3.2,8.2,11.4,1.0,0.7,1.7,1.7,2.4,14.0
C.J. Williams,SG,27,LAC,38,17,18.6,2.3,5.2,.442,0.6,2.1,.282,1.7,3.1,.546,.497,0.3,0.4,.813,0.3,1.2,1.5,1.1,0.8,0.3,0.5,1.7,5.5
Lou Williams,SG,31,LAC,79,19,32.8,7.4,16.9,.435,2.4,6.6,.359,5.0,10.4,.484,.505,5.5,6.2,.880,0.5,2.0,2.5,5.3,1.1,0.2,3.0,1.3,22.6
Matt Williams,SG,24,MIA,3,0,3.7,0.7,2.0,.333,0.3,1.7,.200,0.3,0.3,1.000,.417,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.3,1.7
Jeff Withey,C,27,DAL,9,0,4.3,0.7,1.8,.375,0.2,1.1,.200,0.4,0.7,.667,.438,0.1,0.2,.500,0.1,1.0,1.1,0.0,0.0,0.3,0.2,0.3,1.7
Nate Wolters,PG,26,UTA,5,0,3.8,0.2,1.2,.167,0.0,0.0,,0.2,1.2,.167,.167,0.0,0.0,,0.2,0.2,0.4,0.2,0.0,0.0,0.0,0.2,0.4
Delon Wright,PG,25,TOR,69,4,20.8,2.9,6.3,.465,0.8,2.2,.366,2.1,4.0,.520,.530,1.4,1.7,.829,0.7,2.2,2.9,2.9,1.0,0.5,1.1,1.2,8.0
James Young,SG,22,PHI,6,0,10.2,0.8,2.3,.357,0.5,1.7,.300,0.3,0.7,.500,.464,0.7,1.0,.667,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.7,2.8
Joe Young,PG,25,IND,53,1,10.5,1.5,3.5,.430,0.5,1.2,.379,1.0,2.3,.458,.497,0.4,0.5,.759,0.2,1.0,1.2,0.7,0.3,0.0,0.5,0.7,3.9
Nick Young,SG,32,GSW,80,8,17.4,2.5,6.1,.412,1.5,4.1,.377,1.0,2.0,.481,.538,0.7,0.8,.862,0.3,1.3,1.6,0.5,0.5,0.1,0.5,1.3,7.3
Cody Zeller,C,25,CHO,33,0,19.0,2.6,4.7,.545,0.1,0.1,.667,2.5,4.6,.542,.551,1.8,2.6,.718,2.0,3.3,5.4,0.9,0.4,0.6,1.0,2.5,7.1
Tyler Zeller,C,28,TOT,66,34,16.8,2.8,5.1,.560,0.2,0.4,.357,2.7,4.6,.578,.575,0.9,1.2,.722,1.7,3.0,4.6,0.7,0.2,0.5,0.7,1.9,6.7
Tyler Zeller,C,28,MIL,24,1,16.9,2.6,4.4,.590,0.0,0.1,.000,2.6,4.3,.602,.590,0.7,0.8,.895,2.0,2.7,4.6,0.8,0.3,0.6,0.5,2.0,5.9
Ante Žižić,C,21,CLE,32,2,6.7,1.5,2.1,.731,0.0,0.0,,1.5,2.1,.731,.731,0.7,0.9,.724,0.8,1.1,1.9,0.2,0.1,0.4,0.3,0.9,3.7
Ivica Zubac,C,20,LAL,43,0,9.5,1.4,2.8,.500,0.0,0.0,.000,1.4,2.8,.504,.500,0.9,1.2,.765,1.0,1.8,2.9,0.6,0.2,0.3,0.6,1.1,3.7
